"6416","R05DA04","CODEINE",""
"6419","N02AA79","CODEIN, COMBINATIONS WITH PSYCHOLEPTICS",""
"6419","N02AA79","CODEIN, COMBINATIONS WITH PSYCHOLEPTICS",""
"6421","J01CE02","PHENOXYMETHYLPENICILLIN",""
"6450","V07AV","TECHNICAL DISINFECTANTS",""
"6461","M01AB05","DICLOFENAC",""
"6464","V07AV","TECHNICAL DISINFECTANTS",""
"6465","V07AV","TECHNICAL DISINFECTANTS",""
"6479","N02AA79","CODEIN, COMBINATIONS WITH PSYCHOLEPTICS",""
"6479","N02AA79","CODEIN, COMBINATIONS WITH PSYCHOLEPTICS",""
"6480","N02BA71","ACETYLSALICYLIC ACID, COMB WITH PSYCHOLEPTICS",""
"6480","N02BA71","ACETYLSALICYLIC ACID, COMB WITH PSYCHOLEPTICS",""
"6510","J01CA04","AMOXICILLIN",""
"6511","J01CA04","AMOXICILLIN",""
"6512","C07AB02","METOPROLOL",""
"6513","C07AB02","METOPROLOL",""
"6529","D07AC01","BETAMETHASONE",""
"6535","V07AV","TECHNICAL DISINFECTANTS",""
"6593","H02AB02","DEXAMETHASONE",""
"6611","C07AB02","METOPROLOL",""
"6612","C07AB02","METOPROLOL",""
"6616","A06AD65","MACROGOL, COMBINATIONS",""
"6620","D07AC01","BETAMETHASONE",""
"6645","R05CA10","COMBINATIONS",""
"6656","N05BA06","LORAZEPAM",""
"6657","N05BA06","LORAZEPAM",""
"6658","N05BA06","LORAZEPAM",""
"6714","M01AC01","PIROXICAM",""
